"label","new_genomes/Aameric_YS121.v1.cds.fasta","new_genomes/Abit_YS124.v1.cds.fasta","new_genomes/Cang_YS89.v1.cds.fasta","new_genomes/Ccajan.v1.cds.fasta","new_genomes/Ccin_YS129.v1.cds.fasta","new_genomes/Cens_YS85.v1.cds.fasta","new_genomes/Cmolle_YS235.v1.cds.fasta","new_genomes/Cmuc_YS125.v1.cds.fasta","new_genomes/Cros_YS43.v1.cds.fasta","new_genomes/Ctet_YS88.v1.cds.fasta","new_genomes/Duni_YS76.v1.cds.fasta","new_genomes/Eind_YS44.hap1.v1.cds.fasta","new_genomes/GmaxWm82ISU_01_724_v2.1.cds_primaryTranscriptOnly.fa","new_genomes/Gstr_YS140.v1.cds.fasta","new_genomes/HpodTM013.v1.cds.fasta","new_genomes/Isuf_YS112.v1.cds.fasta","new_genomes/Itin_YS146.v1.cds.fasta","new_genomes/Lcun_YS151.v1.cds.fasta","new_genomes/Lpur_YS149.v1.cds.fasta","new_genomes/Matro_YS75.v1.cds.fasta","new_genomes/Maxil_YS73.v1.cds.fasta","new_genomes/Mlat_YS84.v1.cds.fasta","new_genomes/Mpru_YS155.v1.cds.fasta","new_genomes/Msam_YS158.v1.cds.fasta","new_genomes/Pero_YS156.v1.cds.fasta","new_genomes/Plobssplob_YS90.hap1.v1.cds.fasta","new_genomes/Plun_YS103.v1.cds.fasta","new_genomes/Pmon_YS87.hap1.v1.cds.fasta","new_genomes/Pmonvarlob_YS172.hap1.v1.cds.fasta","new_genomes/Ptet_YS159.v1.cds.fasta","new_genomes/Rmin_YS79.v1.cds.fasta","new_genomes/Shelov_YS99.v1.cds.fasta","new_genomes/Smacrob_YS261.v1.cds.fasta","new_genomes/Tlab_YS204.v1.cds.fasta","new_genomes/Tunci_YS212.v1.cds.fasta","new_genomes/Vvexilla_YS115.hap1.v1.cds.fasta","Pvul218cds.fa","TAIR10cds.fa","Vung469cds.fa"
"Maxil_YS73.v1.contig_103_pilon.g000520.t1","1.272","0.446","0.947","0.934","0.476","1.917","1.907","2.208","0.694","0.935","0.965","0.646","2.244","2.223","2.259","0.949","0.938","2.240","0.623","0.514","","0.542","0.943","0.472","0.436","1.616","0.605","2.540","0.514","0.473","2.225","0.726","0.943","2.532","1.976","0.561","0.745","2.633","0.662"
"Ptet_YS159.v1.contig_236_pilon.g029140.t1","1.261","0.481","0.936","0.923","0.511","1.906","1.896","2.197","0.683","0.924","0.954","0.635","2.233","2.212","2.248","0.938","0.927","2.229","0.612","0.503","0.473","0.531","0.932","0.001","0.425","1.605","0.594","2.529","0.503","","2.214","0.715","0.932","2.521","1.965","0.551","0.734","2.622","0.651"
"Msam_YS158.v1.contig_905.g209850.t1","1.260","0.480","0.935","0.922","0.510","1.905","1.895","2.196","0.682","0.923","0.953","0.634","2.232","2.211","2.247","0.937","0.926","2.228","0.612","0.502","0.472","0.530","0.931","","0.424","1.604","0.593","2.528","0.502","0.001","2.213","0.714","0.931","2.520","1.964","0.550","0.733","2.621","0.650"
"Mlat_YS84.v1.contig_353_pilon.g223260.t1","1.308","0.565","0.983","0.970","0.595","1.953","1.943","2.244","0.730","0.971","1.001","0.682","2.280","2.259","2.295","0.985","0.974","2.275","0.659","0.167","0.556","","0.979","0.545","0.410","1.652","0.641","2.576","0.166","0.546","2.261","0.762","0.979","2.568","2.012","0.335","0.781","2.669","0.698"
"Mlat_YS84.v1.contig_226_pilon.g082860.t1","1.299","0.555","0.974","0.960","0.585","1.943","1.933","2.235","0.720","0.961","0.992","0.672","2.270","2.249","2.285","0.975","0.964","2.266","0.650","0.157","0.547","","0.969","0.535","0.400","1.642","0.632","2.566","0.156","0.536","2.251","0.752","0.969","2.558","2.002","0.325","0.771","2.659","0.688"
"Mlat_YS84.v1.contig_226_pilon.g082980.t1","1.294","0.550","0.969","0.956","0.580","1.939","1.929","2.230","0.716","0.957","0.987","0.667","2.265","2.244","2.280","0.971","0.960","2.261","0.645","0.153","0.542","","0.965","0.530","0.396","1.637","0.627","2.562","0.152","0.531","2.246","0.747","0.965","2.553","1.998","0.321","0.766","2.655","0.684"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g179160.t1","1.281","0.538","0.957","0.943","0.568","1.926","1.916","2.217","0.703","0.944","0.974","0.655","2.253","2.232","2.268","0.958","0.947","2.249","0.633","0.001","0.530","0.152","0.952","0.518","0.383","1.625","0.614","2.549","","0.519","2.234","0.735","0.952","2.541","1.985","0.308","0.754","2.642","0.671"
"Matro_YS75.v1.contig_561_pilon.g219440.t1","1.282","0.539","0.957","0.944","0.569","1.927","1.917","2.218","0.704","0.945","0.975","0.656","2.254","2.233","2.269","0.959","0.948","2.250","0.633","","0.531","0.153","0.953","0.519","0.384","1.626","0.615","2.550","0.001","0.520","2.235","0.736","0.953","2.542","1.986","0.309","0.755","2.643","0.672"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g179200.t1","1.266","0.522","0.941","0.928","0.553","1.911","1.901","2.202","0.688","0.929","0.959","0.639","2.237","2.216","2.252","0.943","0.932","2.233","0.617","0.000","0.514","0.172","0.937","0.502","0.368","1.609","0.599","2.534","","0.503","2.218","0.719","0.937","2.525","1.970","0.293","0.738","2.627","0.656"
"Matro_YS75.v1.contig_561_pilon.g219400.t1","1.266","0.522","0.941","0.928","0.553","1.911","1.901","2.202","0.688","0.929","0.959","0.639","2.237","2.216","2.252","0.943","0.932","2.233","0.617","","0.514","0.172","0.937","0.502","0.368","1.609","0.599","2.534","0.000","0.503","2.218","0.719","0.937","2.525","1.970","0.293","0.738","2.627","0.656"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g147050.t1","1.313","0.570","0.988","0.975","0.600","1.958","1.948","2.249","0.735","0.976","1.006","0.687","2.285","2.263","2.299","0.990","0.979","2.280","0.664","0.293","0.561","0.321","0.984","0.550","0.415","1.657","0.646","2.581","0.293","0.551","2.266","0.767","0.984","2.573","2.017","","0.786","2.674","0.703"
"Pero_YS156.v1.contig_900_pilon.g393570.t1","1.188","0.444","0.863","0.849","0.474","1.833","1.823","2.124","0.610","0.850","0.881","0.561","2.159","2.138","2.174","0.864","0.854","2.155","0.539","0.368","0.436","0.396","0.859","0.424","","1.531","0.521","2.455","0.368","0.425","2.140","0.641","0.859","2.447","1.891","0.415","0.660","2.549","0.578"
"Plun_YS103.v1.contig_1196_pilon.g039940.t1","1.304","0.659","0.979","0.965","0.689","1.948","1.938","2.240","0.725","0.966","0.997","0.677","2.275","2.254","2.290","0.980","0.969","2.271","0.007","0.334","0.363","0.344","0.974","0.639","0.567","1.647","","2.571","0.645","0.640","2.256","0.757","0.974","2.563","2.007","0.281","0.776","2.664","0.297"
"Lpur_YS149.v1.contig_10_pilon.g001370.t1","1.308","0.664","0.983","0.970","0.694","1.953","1.943","2.244","0.730","0.971","1.001","0.681","2.279","2.258","2.294","0.985","0.974","2.275","","0.339","0.367","0.349","0.979","0.644","0.571","1.651","0.007","2.576","0.649","0.645","2.260","0.761","0.979","2.567","2.012","0.285","0.780","2.669","0.301"
"Plun_YS103.v1.contig_1196_pilon.g039980.t1","1.275","0.631","0.950","0.937","0.661","1.920","1.910","2.211","0.697","0.938","0.968","0.648","2.246","2.225","2.261","0.952","0.941","2.242","0.001","0.306","0.334","0.316","0.946","0.611","0.538","1.618","","2.543","0.616","0.612","2.227","0.728","0.946","2.534","1.979","0.252","0.747","2.636","0.268"
"Lpur_YS149.v1.contig_17_pilon.g147990.t1","1.276","0.631","0.951","0.937","0.662","1.921","1.911","2.212","0.698","0.938","0.969","0.649","2.247","2.226","2.262","0.952","0.942","2.243","","0.307","0.335","0.317","0.947","0.612","0.539","1.619","0.001","2.543","0.617","0.612","2.228","0.729","0.947","2.535","1.980","0.253","0.748","2.637","0.269"
"Plun_YS103.v1.contig_1203_pilon.g040170.t1","1.258","0.613","0.933","0.919","0.644","1.903","1.892","2.194","0.680","0.920","0.951","0.631","2.229","2.208","2.244","0.934","0.924","2.225","0.161","0.289","0.317","0.299","0.929","0.593","0.521","1.601","","2.525","0.599","0.594","2.210","0.711","0.929","2.517","1.961","0.235","0.730","2.619","0.251"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g146990.t1","1.298","0.654","0.974","0.960","0.684","1.943","1.933","2.234","0.720","0.961","0.991","0.672","2.270","2.249","2.285","0.975","0.964","2.266","0.253","0.329","0.357","0.339","0.969","0.634","0.561","1.642","0.235","2.566","0.640","0.635","2.251","0.752","0.969","2.558","2.002","","0.771","2.659","0.093"
"Vigun04g133600","1.315","0.670","0.990","0.976","0.700","1.959","1.949","2.250","0.736","0.977","1.007","0.688","2.286","2.265","2.301","0.991","0.980","2.282","0.269","0.345","0.373","0.355","0.985","0.650","0.578","1.658","0.251","2.582","0.656","0.651","2.267","0.768","0.985","2.574","2.018","0.093","0.787","2.675",""
"Vvexilla_YS115.hap1.v1.h1tg000008l.g146890.t1","1.302","0.658","0.977","0.964","0.688","1.947","1.937","2.238","0.724","0.965","0.995","0.676","2.274","2.253","2.289","0.979","0.968","2.270","0.257","0.333","0.361","0.343","0.973","0.638","0.565","1.646","0.239","2.570","0.644","0.639","2.255","0.756","0.973","2.562","2.006","","0.775","2.663","0.268"
"Mlat_YS84.v1.contig_226_pilon.g082920.t1","1.326","0.681","1.001","0.987","0.711","1.971","1.960","2.262","0.748","0.988","1.019","0.699","2.297","2.276","2.312","1.002","0.991","2.293","0.317","0.125","0.385","","0.997","0.661","0.589","1.669","0.299","2.593","0.667","0.662","2.278","0.779","0.996","2.585","2.029","0.262","0.798","2.686","0.355"
"Mlat_YS84.v1.contig_353_pilon.g223250.t1","1.326","0.681","1.001","0.987","0.711","1.971","1.960","2.262","0.747","0.988","1.019","0.699","2.297","2.276","2.312","1.002","0.991","2.293","0.317","0.125","0.385","","0.997","0.661","0.589","1.669","0.299","2.593","0.667","0.662","2.278","0.779","0.996","2.585","2.029","0.262","0.798","2.686","0.355"
"Matro_YS75.v1.contig_561_pilon.g219410.t1","1.316","0.671","0.991","0.977","0.702","1.961","1.951","2.252","0.738","0.978","1.009","0.689","2.287","2.266","2.302","0.992","0.982","2.283","0.307","","0.375","0.125","0.987","0.651","0.579","1.659","0.289","2.583","0.657","0.652","2.268","0.769","0.987","2.575","2.019","0.253","0.788","2.677","0.345"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g146850.t1","1.270","0.626","0.945","0.932","0.656","1.915","1.905","2.206","0.692","0.933","0.963","0.644","2.242","2.221","2.257","0.947","0.936","2.238","0.261","0.253","0.329","0.262","0.941","0.606","0.533","1.614","0.243","2.538","0.612","0.607","2.223","0.724","0.941","2.530","1.974","","0.743","2.631","0.300"
"Maxil_YS73.v1.contig_103_pilon.g000590.t1","1.238","0.593","0.913","0.899","0.623","1.882","1.872","2.173","0.659","0.900","0.930","0.611","2.209","2.188","2.224","0.914","0.903","2.205","0.335","0.375","","0.385","0.908","0.573","0.501","1.581","0.317","2.505","0.579","0.574","2.190","0.691","0.908","2.497","1.941","0.329","0.710","2.598","0.373"
"Maxil_YS73.v1.contig_103_pilon.g000530.t1","1.253","0.608","0.928","0.914","0.638","1.898","1.887","2.189","0.675","0.915","0.946","0.626","2.224","2.203","2.239","0.929","0.919","2.220","0.350","0.390","","0.400","0.924","0.588","0.516","1.596","0.332","2.520","0.594","0.589","2.205","0.706","0.924","2.512","1.956","0.345","0.725","2.614","0.389"
"Maxil_YS73.v1.contig_103_pilon.g000580.t1","1.263","0.619","0.938","0.925","0.649","1.908","1.898","2.199","0.685","0.926","0.956","0.636","2.235","2.213","2.249","0.940","0.929","2.230","0.361","0.401","","0.410","0.934","0.599","0.526","1.606","0.343","2.531","0.604","0.600","2.216","0.716","0.934","2.522","1.967","0.355","0.735","2.624","0.399"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g178970.t1","1.402","0.691","1.077","1.063","0.954","2.046","2.036","2.337","0.823","1.064","1.094","0.775","2.373","2.352","2.388","1.078","1.067","2.369","0.467","0.068","0.881","0.314","1.072","0.755","0.611","1.745","0.540","2.669","","0.755","2.354","0.492","1.072","2.661","2.105","0.536","0.511","2.762","0.576"
"Matro_YS75.v1.contig_63_pilon.g253770.t1","1.377","0.667","1.052","1.039","0.930","2.022","2.012","2.313","0.799","1.039","1.070","0.750","2.348","2.327","2.363","1.054","1.043","2.344","0.443","","0.857","0.290","1.048","0.730","0.586","1.720","0.515","2.645","0.068","0.730","2.329","0.467","1.048","2.636","2.081","0.511","0.486","2.738","0.552"
"Matro_YS75.v1.contig_63_pilon.g253720.t1","1.346","0.635","1.021","1.007","0.898","1.990","1.980","2.281","0.767","1.008","1.038","0.719","2.317","2.296","2.332","1.022","1.011","2.313","0.411","","0.825","0.258","1.016","0.699","0.555","1.689","0.484","2.613","0.073","0.699","2.298","0.436","1.016","2.605","2.049","0.480","0.455","2.706","0.520"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g178900.t1","1.315","0.604","0.990","0.976","0.867","1.959","1.949","2.251","0.736","0.977","1.007","0.688","2.286","2.265","2.301","0.991","0.980","2.282","0.380","0.073","0.794","0.227","0.985","0.668","0.524","1.658","0.453","2.582","","0.668","2.267","0.405","0.985","2.574","2.018","0.449","0.424","2.675","0.489"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g178990.t1","1.324","0.613","0.999","0.985","0.876","1.968","1.958","2.260","0.745","0.986","1.017","0.697","2.295","2.274","2.310","1.000","0.989","2.291","0.389","0.096","0.803","0.237","0.994","0.677","0.533","1.667","0.462","2.591","","0.677","2.276","0.414","0.994","2.583","2.027","0.458","0.433","2.684","0.499"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g179020.t1","1.324","0.613","0.999","0.985","0.876","1.968","1.958","2.260","0.745","0.986","1.017","0.697","2.295","2.274","2.310","1.000","0.989","2.291","0.389","0.096","0.803","0.237","0.994","0.677","0.533","1.667","0.462","2.591","","0.677","2.276","0.414","0.994","2.583","2.027","0.458","0.433","2.684","0.499"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g179000.t1","1.359","0.649","1.034","1.021","0.912","2.004","1.994","2.295","0.781","1.022","1.052","0.732","2.331","2.309","2.345","1.036","1.025","2.326","0.425","0.132","0.839","0.272","1.030","0.713","0.568","1.702","0.497","2.627","","0.713","2.312","0.449","1.030","2.619","2.063","0.493","0.468","2.720","0.534"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g178960.t1","1.327","0.616","1.002","0.988","0.879","1.971","1.961","2.262","0.748","0.989","1.019","0.700","2.298","2.277","2.313","1.003","0.992","2.294","0.392","0.097","0.806","0.239","0.997","0.680","0.536","1.670","0.465","2.594","","0.680","2.279","0.417","0.997","2.586","2.030","0.461","0.436","2.687","0.501"
"Matro_YS75.v1.contig_1243_pilon.g025520.t1","1.324","0.614","0.999","0.986","0.877","1.969","1.959","2.260","0.746","0.987","1.017","0.698","2.296","2.275","2.310","1.001","0.990","2.291","0.390","","0.804","0.237","0.995","0.678","0.533","1.668","0.462","2.592","0.097","0.678","2.277","0.414","0.995","2.584","2.028","0.458","0.433","2.685","0.499"
"Mlat_YS84.v1.contig_226_pilon.g083130.t1","1.316","0.605","0.991","0.977","0.868","1.960","1.950","2.251","0.737","0.978","1.008","0.689","2.287","2.266","2.302","0.992","0.981","2.283","0.381","0.237","0.795","","0.986","0.669","0.525","1.659","0.454","2.583","0.227","0.669","2.268","0.406","0.986","2.575","2.019","0.450","0.425","2.676","0.490"
"Mlat_YS84.v1.contig_226_pilon.g083300.t1","1.326","0.616","1.001","0.988","0.879","1.971","1.961","2.262","0.748","0.989","1.019","0.699","2.297","2.276","2.312","1.003","0.992","2.293","0.392","0.248","0.806","","0.997","0.679","0.535","1.669","0.464","2.594","0.238","0.679","2.279","0.416","0.997","2.585","2.030","0.460","0.435","2.687","0.501"
"Lpur_YS149.v1.contig_10_pilon.g001140.t1","1.292","0.582","0.967","0.954","0.845","1.937","1.927","2.228","0.714","0.955","0.985","0.665","2.263","2.242","2.278","0.969","0.958","2.259","","0.390","0.772","0.381","0.963","0.645","0.501","1.635","0.430","2.560","0.380","0.645","2.244","0.382","0.963","2.551","1.996","0.426","0.401","2.653","0.467"
"Plun_YS103.v1.contig_1191_pilon.g039740.t1","1.274","0.564","0.949","0.936","0.827","1.919","1.909","2.210","0.696","0.936","0.967","0.647","2.245","2.224","2.260","0.951","0.940","2.241","0.000","0.477","0.754","0.469","0.945","0.627","0.483","1.617","","2.541","0.468","0.627","2.226","0.331","0.945","2.533","1.978","0.408","0.319","2.635","0.449"
"Lpur_YS149.v1.contig_10_pilon.g001170.t1","1.274","0.564","0.949","0.936","0.827","1.919","1.909","2.210","0.696","0.936","0.967","0.647","2.245","2.224","2.260","0.951","0.940","2.241","","0.477","0.754","0.469","0.945","0.627","0.483","1.617","0.000","2.541","0.468","0.627","2.226","0.331","0.945","2.533","1.978","0.408","0.319","2.635","0.449"
"Plun_YS103.v1.contig_1191_pilon.g039730.t1","1.259","0.549","0.934","0.921","0.812","1.904","1.894","2.195","0.681","0.921","0.952","0.632","2.230","2.209","2.245","0.936","0.925","2.226","0.000","0.462","0.739","0.454","0.930","0.612","0.468","1.602","","2.526","0.453","0.612","2.211","0.316","0.930","2.518","1.963","0.393","0.304","2.620","0.434"
"Lpur_YS149.v1.contig_10_pilon.g001160.t1","1.259","0.549","0.934","0.921","0.812","1.904","1.894","2.195","0.681","0.921","0.952","0.632","2.230","2.209","2.245","0.936","0.925","2.226","","0.462","0.739","0.454","0.930","0.612","0.468","1.602","0.000","2.526","0.453","0.612","2.211","0.316","0.930","2.518","1.963","0.393","0.304","2.620","0.434"
"Phvul.004G099700","1.230","0.520","0.905","0.892","0.783","1.875","1.865","2.166","0.652","0.892","0.923","0.603","2.201","2.180","2.216","0.906","0.896","2.197","0.304","0.433","0.710","0.425","0.901","0.583","0.439","1.573","0.304","2.497","0.424","0.583","2.182","0.287","0.901","2.489","1.934","0.364","","2.591","0.405"
"Phvul.004G099100","1.247","0.537","0.922","0.909","0.800","1.892","1.882","2.183","0.669","0.910","0.940","0.620","2.218","2.197","2.233","0.924","0.913","2.214","0.321","0.450","0.727","0.442","0.918","0.600","0.456","1.590","0.321","2.515","0.441","0.600","2.199","0.304","0.918","2.506","1.951","0.381","","2.608","0.422"
"Shelov_YS99.v1.contig_44_pilon.g157350.t1","1.217","0.506","0.892","0.878","0.769","1.861","1.851","2.153","0.638","0.879","0.910","0.590","2.188","2.167","2.203","0.893","0.882","2.184","0.322","0.420","0.696","0.411","0.887","0.570","0.426","1.560","0.322","2.484","0.410","0.570","2.169","","0.887","2.476","1.920","0.351","0.293","2.577","0.391"
"Shelov_YS99.v1.contig_44_pilon.g157330.t1","1.227","0.517","0.902","0.889","0.780","1.872","1.862","2.163","0.649","0.889","0.920","0.600","2.198","2.177","2.213","0.903","0.893","2.194","0.332","0.430","0.707","0.422","0.898","0.580","0.436","1.570","0.332","2.494","0.421","0.580","2.179","","0.898","2.486","1.931","0.361","0.303","2.588","0.402"
"Shelov_YS99.v1.contig_44_pilon.g157370.t1","1.238","0.528","0.913","0.899","0.791","1.883","1.873","2.174","0.660","0.900","0.931","0.611","2.209","2.188","2.224","0.914","0.904","2.205","0.343","0.441","0.718","0.432","0.909","0.591","0.447","1.581","0.343","2.505","0.432","0.591","2.190","","0.909","2.497","1.941","0.372","0.314","2.599","0.413"
"Shelov_YS99.v1.contig_44_pilon.g157170.t1","1.241","0.531","0.916","0.903","0.794","1.886","1.876","2.177","0.663","0.904","0.934","0.615","2.213","2.192","2.228","0.918","0.907","2.209","0.346","0.445","0.721","0.436","0.912","0.595","0.450","1.585","0.346","2.509","0.435","0.595","2.194","","0.912","2.501","1.945","0.375","0.317","2.602","0.416"
"Shelov_YS99.v1.contig_44_pilon.g157160.t1","1.241","0.531","0.916","0.902","0.794","1.886","1.875","2.177","0.663","0.903","0.934","0.614","2.212","2.191","2.227","0.917","0.906","2.208","0.346","0.444","0.720","0.435","0.912","0.594","0.450","1.584","0.346","2.508","0.434","0.594","2.193","","0.911","2.500","1.944","0.375","0.317","2.601","0.416"
"Shelov_YS99.v1.contig_44_pilon.g157380.t1","1.211","0.501","0.886","0.873","0.764","1.856","1.846","2.147","0.633","0.873","0.904","0.584","2.182","2.161","2.197","0.887","0.877","2.178","0.316","0.414","0.691","0.406","0.882","0.564","0.420","1.554","0.316","2.478","0.405","0.564","2.163","","0.882","2.470","1.915","0.345","0.287","2.572","0.386"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g147270.t1","1.211","0.500","0.886","0.872","0.763","1.855","1.845","2.147","0.632","0.873","0.903","0.584","2.182","2.161","2.197","0.887","0.876","2.178","0.393","0.458","0.690","0.450","0.881","0.564","0.420","1.554","0.393","2.478","0.449","0.564","2.163","0.345","0.881","2.470","1.914","","0.364","2.571","0.385"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g147280.t1","1.207","0.497","0.882","0.868","0.759","1.852","1.841","2.143","0.628","0.869","0.900","0.580","2.178","2.157","2.193","0.883","0.872","2.174","0.430","0.496","0.686","0.487","0.878","0.560","0.416","1.550","0.430","2.474","0.486","0.560","2.159","0.382","0.877","2.466","1.910","","0.401","2.567","0.187"
"Vigun04g136500","1.210","0.500","0.885","0.872","0.763","1.855","1.845","2.146","0.632","0.873","0.903","0.584","2.182","2.160","2.196","0.887","0.876","2.177","0.434","0.499","0.690","0.490","0.881","0.564","0.419","1.553","0.434","2.478","0.489","0.564","2.163","0.386","0.881","2.470","1.914","0.187","0.405","2.571",""
"Pero_YS156.v1.contig_900_pilon.g393390.t1","1.113","0.352","0.788","0.775","0.666","1.758","1.748","2.049","0.535","0.776","0.806","0.486","2.085","2.063","2.099","0.790","0.779","2.080","0.480","0.545","0.593","0.537","0.784","0.466","","1.456","0.480","2.381","0.536","0.466","2.066","0.432","0.784","2.372","1.817","0.428","0.451","2.474","0.431"
